Tipo,Temp_Aire,Temp_Proceso,Velocidad,Torque,Desgaste,Fallo,Tipo_Fallo,Indice_Esfuerzo_Mecanico,Gasto_Excesivo
M,298.1,308.6,1551,42.8,0,0,No Failure,66382.79999999999,True
L,298.2,308.7,1408,46.3,3,0,No Failure,65190.399999999994,True
L,298.1,308.5,1498,49.4,5,0,No Failure,74001.2,True
L,298.2,308.6,1433,39.5,7,0,No Failure,56603.5,False
L,298.2,308.7,1408,40.0,9,0,No Failure,56320.0,False
M,298.1,308.6,1425,41.9,11,0,No Failure,59707.5,False
L,298.1,308.6,1558,42.4,14,0,No Failure,66059.2,True
L,298.1,308.6,1527,40.2,16,0,No Failure,61385.4,True
M,298.3,308.7,1667,28.6,18,0,No Failure,47676.200000000004,False
M,298.5,309.0,1741,28.0,21,0,No Failure,48748.0,False
H,298.4,308.9,1782,23.9,24,0,No Failure,42589.799999999996,False
H,298.6,309.1,1423,44.3,29,0,No Failure,63038.899999999994,True
M,298.6,309.1,1339,51.1,34,0,No Failure,68422.90000000001,True
M,298.6,309.2,1742,30.0,37,0,No Failure,52260.0,False
L,298.6,309.2,2035,19.6,40,0,No Failure,39886.0,False
L,298.6,309.2,1542,48.4,42,0,No Failure,74632.8,True
M,298.6,309.2,1311,46.6,44,0,No Failure,61092.6,True
M,298.7,309.2,1410,45.6,47,0,No Failure,64296.0,True
H,298.8,309.2,1306,54.5,50,0,No Failure,71177.0,True
M,298.9,309.3,1632,32.5,55,0,No Failure,53040.0,False
H,298.9,309.3,1375,42.7,58,0,No Failure,58712.50000000001,False
L,298.8,309.3,1450,44.8,63,0,No Failure,64959.99999999999,True
M,298.9,309.3,1581,30.7,65,0,No Failure,48536.7,False
L,299.0,309.4,1758,25.7,68,0,No Failure,45180.6,False
M,299.0,309.4,1561,37.3,70,0,No Failure,58225.299999999996,False
L,299.0,309.5,1861,23.3,73,0,No Failure,43361.3,False
L,299.1,309.5,1512,39.0,75,0,No Failure,58968.0,False
H,299.1,309.4,1811,24.6,77,0,No Failure,44550.600000000006,False
L,299.1,309.4,1439,44.2,82,0,No Failure,63603.8,True
L,299.0,309.4,1693,30.1,84,0,No Failure,50959.3,False
M,299.1,309.5,1339,48.2,86,0,No Failure,64539.8,True
L,299.0,309.4,1798,25.5,89,0,No Failure,45849.0,False
L,299.0,309.4,1419,48.3,91,0,No Failure,68537.7,True
L,298.9,309.3,1665,32.5,93,0,No Failure,54112.5,False
M,298.8,309.1,1559,34.7,95,0,No Failure,54097.3,False
M,298.8,309.2,1452,48.6,98,0,No Failure,70567.2,True
M,298.9,309.2,1581,36.7,101,0,No Failure,58022.700000000004,False
L,298.8,309.1,1439,39.2,104,0,No Failure,56408.8,False
H,298.9,309.2,1379,50.7,106,0,No Failure,69915.3,True
L,298.8,309.1,1350,52.5,111,0,No Failure,70875.0,True
L,298.8,309.1,1362,45.4,113,0,No Failure,61834.799999999996,True
L,298.8,309.1,1368,50.8,115,0,No Failure,69494.4,True
M,298.8,309.1,1368,49.1,117,0,No Failure,67168.8,True
H,298.8,309.2,1372,48.5,120,0,No Failure,66542.0,True
M,298.8,309.1,1472,47.5,125,0,No Failure,69920.0,True
L,298.8,309.1,1489,49.1,128,0,No Failure,73109.90000000001,True
M,298.7,309.0,1843,25.8,130,0,No Failure,47549.4,False
L,298.8,309.1,1418,46.3,133,0,No Failure,65653.4,True
H,298.8,309.2,1425,53.9,135,0,No Failure,76807.5,True
